## Voici un spectre de photoluminescence, 
## première colonne: longueur d'onde (nm)г,
## seconde colonne: intensité (après soustraction du "dark"), en "coups".
## Les pics vers 800 nm sont la luminescence émise par des puits quantiques de GaAs dans AlGaAs."
## Le AlGaAs étant un semi conducteur utilisé dans la fabrication de diode qui émettent dans le rouge/# infrarouge sous l'effet d'un courant électrique (d'ou la présence d'un pic de valeur aux alentours de 800 nm)
## Les premières lignes du fichier correspondent au set-up du logiciel qui a enregistré les mesures. 
## OOIBase32 Version 2.0.2.2 Data File
## ++++++++++++++++++++++++++++++++++++
# Date: 10-31-2006, 14:09:55
# User: Valued Ocean Optics Customer
# Spectrometer Serial Number: U,SB2G7185
# Spectrometer Channel: Master
# Integration Time (msec): 10000
# Spectra Averaged: 1
# Boxcar Smoothing: 0
# Correct for Electrical Dark: Disabled
# Time Normalized: Disabled
# Dual-beam Reference: Disabled
# Reference Channel: Master
# Temperature: Not acquired
# Spectrometer Type: S2000
# ADC Type: USB2000
# Number of Pixels in File: 2048
# Graph Title: 
# >>>>>Begin Spectral Data<<<<<
339.67	0.000
340.05	-7.000
340.43	5.000
340.81	5.000
341.19	1.000
341.57	-13.000
341.95	-1.000
342.33	20.000
342.71	-4.000
343.08	-5.000
343.46	-3.000
343.84	8.000
344.22	-7.000
344.60	-2.000
344.98	5.000
345.36	-3.000
345.73	-9.000
346.11	-5.000
346.49	3.000
346.87	-10.000
347.25	2.000
347.63	5.000
348.01	3.000
348.38	-6.000
348.76	-6.000
349.14	-2.000
349.52	2.000
349.90	11.000
350.28	0.000
350.65	5.000
351.03	-4.000
351.41	-2.000
351.79	7.000
352.17	-9.000
352.54	0.000
352.92	3.000
353.30	-2.000
353.68	-5.000
354.05	3.000
354.43	-2.000
354.81	-1.000
355.19	-2.000
355.57	-5.000
355.94	-7.000
356.32	1.000
356.70	-3.000
357.08	-1.000
357.45	-3.000
357.83	-2.000
358.21	-8.000
358.59	-10.000
358.96	-1.000
359.34	-5.000
359.72	0.000
360.09	10.000
360.47	3.000
360.85	3.000
361.23	-3.000
361.60	3.000
361.98	7.000
362.36	3.000
362.73	-3.000
363.11	-15.000
363.49	-11.000
363.86	5.000
364.24	-12.000
364.62	0.000
364.99	7.000
365.37	3.000
365.75	4.000
366.12	-5.000
366.50	-5.000
366.88	6.000
367.25	-13.000
367.63	-2.000
368.01	1.000
368.38	1.000
368.76	-4.000
369.14	5.000
369.51	2.000
369.89	12.000
370.27	-3.000
370.64	-21.000
371.02	-3.000
371.39	-7.000
371.77	-4.000
372.15	5.000
372.52	2.000
372.90	0.000
373.27	-7.000
373.65	-1.000
374.03	-8.000
374.40	-14.000
374.78	-17.000
375.15	-8.000
375.53	0.000
375.90	-9.000
376.28	0.000
376.66	3.000
377.03	5.000
377.41	0.000
377.78	-5.000
378.16	-6.000
378.53	1.000
378.91	10.000
379.28	-2.000
379.66	4.000
380.03	-3.000
380.41	-3.000
380.78	3.000
381.16	-6.000
381.53	2.000
381.91	-6.000
382.28	-5.000
382.66	6.000
383.03	-1.000
383.41	0.000
383.78	-2.000
384.16	-4.000
384.53	1.000
384.91	-18.000
385.28	-13.000
385.66	1.000
386.03	5.000
386.41	-13.000
386.78	-8.000
387.16	-6.000
387.53	-1.000
387.91	-5.000
388.28	-6.000
388.65	0.000
389.03	-11.000
389.40	0.000
389.78	-4.000
390.15	-17.000
390.53	-4.000
390.90	-15.000
391.27	-12.000
391.65	-4.000
392.02	1.000
392.40	-9.000
392.77	4.000
393.14	-8.000
393.52	8.000
393.89	-7.000
394.27	8.000
394.64	2.000
395.01	0.000
395.39	-14.000
395.76	-5.000
396.14	-5.000
396.51	-4.000
396.88	-4.000
397.26	-13.000
397.63	-3.000
398.00	-5.000
398.38	-3.000
398.75	-1.000
399.12	4.000
399.50	-14.000
399.87	-3.000
400.24	-7.000
